txn_id,customer_id,txn_date,txn_type,amount_pkr,branch,channel,currency,counterparty,is_cross_border,flagged,status
TXN-00019,CUST-0058,2025-02-02,POS Purchase,14723.24,Faisalabad-Central,Online,PKR,ENTITY-173,0,0,Completed
TXN-00020,CUST-0189,2024-02-12,IBFT,2055090.61,Karachi-Clifton,Mobile App,PKR,ENTITY-115,0,1,Completed
TXN-00021,CUST-0153,2024-12-31,ATM Withdrawal,9731.18,Islamabad-Blue Area,Mobile App,AED,ENTITY-209,0,0,Pending
TXN-00022,CUST-0052,2024-08-17,Loan Disbursement,58172.02,Karachi-Clifton,ATM,PKR,ENTITY-252,0,0,Reversed
TXN-00023,CUST-0156,2024-09-23,Loan Disbursement,7781.99,Karachi-Main,POS,PKR,ENTITY-191,0,0,Reversed
TXN-00024,CUST-0108,2025-03-20,POS Purchase,25911.79,Lahore-Gulberg,Mobile App,AED,ENTITY-151,0,0,Completed
TXN-00025,CUST-0092,2024-04-13,POS Purchase,18540.72,Karachi-Clifton,Branch,PKR,ENTITY-026,0,0,Pending
TXN-00026,CUST-0173,2024-10-26,Loan Disbursement,15810.86,Karachi-Clifton,Branch,USD,ENTITY-091,0,0,Pending
TXN-00027,CUST-0153,2024-08-23,IBFT,8352.87,Islamabad-Blue Area,POS,USD,ENTITY-299,0,0,Reversed
TXN-00028,CUST-0056,2024-01-18,Bill Payment,447740.79,Islamabad-Blue Area,POS,PKR,ENTITY-124,0,1,Completed
TXN-00029,CUST-0149,2025-02-26,Cash Deposit,45179.11,Lahore-Gulberg,Branch,USD,ENTITY-089,0,0,Completed
TXN-00030,CUST-0142,2024-04-08,IBFT,192281.36,Lahore-Gulberg,Online,AED,ENTITY-273,0,0,Reversed
TXN-00031,CUST-0056,2024-12-30,Cash Withdrawal,12927.66,Islamabad-Blue Area,ATM,PKR,ENTITY-424,0,0,Completed
TXN-00032,CUST-0094,2024-06-22,Cash Deposit,39929.3,Quetta-Branch,Online,AED,ENTITY-187,0,0,Pending
TXN-00033,CUST-0161,2024-04-06,Wire Transfer,1930248.01,Karachi-Main,ATM,AED,ENTITY-045,0,0,Completed
TXN-00034,CUST-0086,2024-11-11,Cash Deposit,1646057.87,Faisalabad-Central,ATM,PKR,ENTITY-095,0,1,Pending
TXN-00035,CUST-0120,2024-06-27,Loan Disbursement,965334.72,Quetta-Branch,Mobile App,PKR,ENTITY-231,0,1,Pending
TXN-00036,CUST-0049,2024-10-27,Cash Deposit,79221.36,Quetta-Branch,Branch,AED,ENTITY-339,0,0,Pending
TXN-00037,CUST-0076,2024-03-27,Loan Disbursement,1689.65,Karachi-Clifton,POS,USD,ENTITY-061,1,0,Completed
TXN-00038,CUST-0011,2024-01-01,IBFT,23411.1,Faisalabad-Central,Branch,USD,ENTITY-193,0,0,Reversed
TXN-00039,CUST-0084,2024-12-02,Cash Withdrawal,771.65,Islamabad-Blue Area,Mobile App,PKR,ENTITY-220,0,0,Completed
TXN-00040,CUST-0172,2024-01-31,IBFT,171164.57,Quetta-Branch,ATM,PKR,ENTITY-039,1,0,Completed
TXN-00041,CUST-0009,2024-07-23,ATM Withdrawal,774917.55,Karachi-Main,Online,PKR,ENTITY-329,0,0,Reversed
TXN-00042,CUST-0192,2024-05-22,Cash Deposit,14019.26,Karachi-Clifton,POS,PKR,ENTITY-364,1,0,Completed
TXN-00043,CUST-0172,2024-03-11,IBFT,868271.95,Quetta-Branch,Mobile App,USD,ENTITY-301,0,0,Completed
TXN-00044,CUST-0117,2024-02-19,Cash Withdrawal,70763.88,Karachi-Clifton,Branch,USD,ENTITY-201,0,1,Completed
TXN-00045,CUST-0084,2024-01-14,Bill Payment,4249.34,Islamabad-Blue Area,POS,USD,ENTITY-401,1,0,Reversed
TXN-00046,CUST-0142,2024-12-22,ATM Withdrawal,1670510.79,Lahore-Gulberg,POS,AED,ENTITY-006,0,1,Completed
TXN-00047,CUST-0096,2024-06-03,ATM Withdrawal,8360.17,Faisalabad-Central,Branch,PKR,ENTITY-070,0,0,Pending
TXN-00048,CUST-0181,2024-05-20,Bill Payment,14854.17,Faisalabad-Central,ATM,USD,ENTITY-381,0,0,Completed
TXN-00049,CUST-0033,2024-10-13,POS Purchase,256582.62,Faisalabad-Central,ATM,PKR,ENTITY-202,0,0,Completed
TXN-00050,CUST-0138,2024-07-11,Bill Payment,6282.88,Islamabad-Blue Area,Branch,PKR,ENTITY-151,0,0,Pending
TXN-00051,CUST-0133,2024-10-19,Bill Payment,21854.36,Karachi-Clifton,ATM,USD,ENTITY-430,1,0,Completed
TXN-00052,CUST-0059,2025-01-16,Bill Payment,29407.78,Quetta-Branch,POS,USD,ENTITY-310,0,0,Reversed
TXN-00053,CUST-0108,2024-01-10,POS Purchase,71781.72,Lahore-Gulberg,Online,PKR,ENTITY-059,0,0,Completed
TXN-00054,CUST-0130,2024-06-11,Bill Payment,3178671.91,Islamabad-Blue Area,ATM,USD,ENTITY-098,0,1,Completed
TXN-00055,CUST-0198,2024-11-28,Wire Transfer,30138.9,Karachi-Clifton,Branch,PKR,ENTITY-249,0,0,Pending
TXN-00056,CUST-0094,2024-09-13,Bill Payment,4197.85,Quetta-Branch,Online,PKR,ENTITY-406,1,0,Completed
TXN-00057,CUST-0126,2024-12-11,POS Purchase,223700.65,Islamabad-Blue Area,Branch,AED,ENTITY-124,0,0,Completed
TXN-00058,CUST-0141,2025-02-24,Bill Payment,6424623.54,Quetta-Branch,Mobile App,PKR,ENTITY-380,0,0,Pending
TXN-00059,CUST-0052,2024-09-28,Cash Deposit,158984.62,Karachi-Clifton,Online,AED,ENTITY-419,0,0,Completed
TXN-00060,CUST-0097,2024-04-15,ATM Withdrawal,99618.26,Faisalabad-Central,Mobile App,PKR,ENTITY-045,0,0,Completed
TXN-00061,CUST-0083,2024-01-12,Loan Disbursement,18468.91,Karachi-Main,ATM,PKR,ENTITY-374,0,0,Completed
TXN-00062,CUST-0113,2024-08-02,POS Purchase,23068.24,Karachi-Clifton,POS,PKR,ENTITY-068,1,0,Reversed
TXN-00063,CUST-0037,2024-06-14,ATM Withdrawal,2977.07,Karachi-Main,Branch,PKR,ENTITY-040,0,0,Completed
TXN-00064,CUST-0062,2024-01-07,Wire Transfer,1783719.98,Islamabad-Blue Area,Online,USD,ENTITY-335,0,1,Reversed
TXN-00065,CUST-0049,2024-06-03,POS Purchase,28440.89,Quetta-Branch,Branch,PKR,ENTITY-415,1,0,Pending
TXN-00066,CUST-0115,2025-03-21,ATM Withdrawal,368880.83,Faisalabad-Central,Branch,USD,ENTITY-424,0,0,Completed
TXN-00067,CUST-0096,2024-12-27,Bill Payment,85922.32,Faisalabad-Central,ATM,USD,ENTITY-170,1,1,Completed
TXN-00068,CUST-0096,2024-11-13,Wire Transfer,423283.67,Faisalabad-Central,Online,PKR,ENTITY-212,0,0,Completed
TXN-00069,CUST-0081,2024-08-10,Loan Disbursement,20786.9,Karachi-Clifton,Online,AED,ENTITY-483,0,0,Pending
TXN-00070,CUST-0048,2025-01-04,ATM Withdrawal,103604.68,Islamabad-Blue Area,Online,USD,ENTITY-057,0,1,Completed
TXN-00071,CUST-0091,2024-05-15,Cash Withdrawal,338913.91,Quetta-Branch,ATM,AED,ENTITY-134,0,1,Pending
TXN-00072,CUST-0149,2024-11-08,POS Purchase,12134.76,Lahore-Gulberg,Online,USD,ENTITY-278,1,0,Completed
TXN-00073,CUST-0179,2025-01-14,IBFT,846.4,Faisalabad-Central,ATM,USD,ENTITY-084,1,0,Completed
TXN-00074,CUST-0124,2024-01-05,POS Purchase,114780.81,Karachi-Clifton,POS,PKR,ENTITY-027,1,0,Completed
TXN-00075,CUST-0081,2025-02-27,Cash Withdrawal,146348.66,Karachi-Clifton,Online,PKR,ENTITY-353,0,0,Reversed
TXN-00076,CUST-0025,2024-05-14,IBFT,362733.95,Quetta-Branch,Online,AED,ENTITY-401,1,0,Reversed
TXN-00077,CUST-0038,2024-02-12,IBFT,129249.1,Islamabad-Blue Area,Online,PKR,ENTITY-216,1,0,Completed
TXN-00078,CUST-0088,2025-02-05,Loan Disbursement,118274.0,Faisalabad-Central,Branch,PKR,ENTITY-049,0,0,Pending
TXN-00079,CUST-0027,2025-02-22,Bill Payment,1769.93,Lahore-Gulberg,Online,PKR,ENTITY-097,0,0,Completed
TXN-00080,CUST-0076,2024-09-23,Cash Withdrawal,50493.39,Karachi-Clifton,Mobile App,AED,ENTITY-242,0,0,Completed
TXN-00081,CUST-0166,2025-02-21,ATM Withdrawal,4722.99,Islamabad-Blue Area,POS,PKR,ENTITY-457,0,0,Completed
TXN-00082,CUST-0089,2024-07-31,Bill Payment,21974.67,Karachi-Main,Branch,PKR,ENTITY-264,0,0,Completed
TXN-00083,CUST-0086,2025-02-26,ATM Withdrawal,448612.97,Faisalabad-Central,POS,PKR,ENTITY-386,0,0,Reversed
TXN-00084,CUST-0153,2024-12-06,Cash Withdrawal,38483.89,Islamabad-Blue Area,Online,PKR,ENTITY-334,0,0,Completed
TXN-00085,CUST-0061,2024-10-14,Cash Deposit,328.79,Lahore-Gulberg,Online,USD,ENTITY-443,0,0,Completed
TXN-00086,CUST-0130,2025-02-16,Loan Disbursement,5985.89,Islamabad-Blue Area,ATM,USD,ENTITY-225,0,0,Completed
TXN-00087,CUST-0152,2024-04-19,Bill Payment,13075.3,Lahore-Gulberg,ATM,AED,ENTITY-379,0,0,Pending
TXN-00088,CUST-0070,2024-07-24,Loan Disbursement,24192.93,Islamabad-Blue Area,Branch,PKR,ENTITY-241,0,0,Reversed
TXN-00089,CUST-0060,2024-12-15,POS Purchase,196504.94,Faisalabad-Central,ATM,USD,ENTITY-452,0,0,Completed
TXN-00090,CUST-0183,2024-07-01,Bill Payment,163768.88,Karachi-Clifton,Online,AED,ENTITY-195,0,0,Reversed
TXN-00091,CUST-0134,2024-12-19,Cash Deposit,156665.35,Quetta-Branch,Online,AED,ENTITY-228,0,0,Reversed
TXN-00092,CUST-0016,2024-07-29,Wire Transfer,55168.78,Karachi-Clifton,POS,USD,ENTITY-269,0,0,Pending
TXN-00093,CUST-0031,2024-10-16,Cash Deposit,21349.98,Lahore-Gulberg,POS,AED,ENTITY-388,0,0,Completed
TXN-00094,CUST-0090,2024-05-01,Bill Payment,361341.04,Karachi-Clifton,Online,USD,ENTITY-127,0,1,Completed
TXN-00095,CUST-0082,2024-08-14,Cash Withdrawal,79047.73,Lahore-Gulberg,POS,PKR,ENTITY-038,0,0,Pending
TXN-00096,CUST-0082,2024-05-26,Bill Payment,2970008.39,Lahore-Gulberg,Branch,PKR,ENTITY-162,0,1,Completed
TXN-00097,CUST-0046,2024-09-26,ATM Withdrawal,594063.17,Lahore-Gulberg,Online,PKR,ENTITY-256,0,0,Reversed
TXN-00098,CUST-0047,2024-02-28,Cash Deposit,42981.37,Karachi-Clifton,Online,PKR,ENTITY-254,1,0,Pending
TXN-00099,CUST-0134,2025-01-25,POS Purchase,61739.95,Quetta-Branch,POS,AED,ENTITY-404,0,0,Pending
TXN-00100,CUST-0112,2024-07-05,Bill Payment,526378.27,Karachi-Main,Branch,PKR,ENTITY-237,0,0,Reversed
TXN-00101,CUST-0029,2024-04-22,Bill Payment,5133.83,Faisalabad-Central,ATM,PKR,ENTITY-440,0,0,Completed
TXN-00102,CUST-0075,2024-04-29,Loan Disbursement,159228.1,Faisalabad-Central,Mobile App,PKR,ENTITY-019,0,0,Completed
TXN-00103,CUST-0029,2024-07-24,Cash Withdrawal,8792.83,Faisalabad-Central,Mobile App,PKR,ENTITY-486,0,0,Pending
TXN-00104,CUST-0177,2025-03-21,POS Purchase,639768.05,Faisalabad-Central,Branch,AED,ENTITY-107,0,0,Completed
TXN-00105,CUST-0041,2024-02-29,Bill Payment,456173.21,Karachi-Clifton,Online,PKR,ENTITY-485,0,0,Reversed
TXN-00106,CUST-0084,2024-01-27,POS Purchase,701209.39,Islamabad-Blue Area,ATM,USD,ENTITY-495,0,0,Pending
TXN-00107,CUST-0168,2025-03-30,POS Purchase,6436868.07,Karachi-Clifton,POS,USD,ENTITY-390,0,1,Pending
TXN-00108,CUST-0162,2024-09-30,Cash Withdrawal,164899.87,Faisalabad-Central,Online,USD,ENTITY-151,0,0,Reversed
TXN-00109,CUST-0076,2024-10-09,Wire Transfer,5758.49,Karachi-Clifton,Branch,USD,ENTITY-355,0,0,Completed
TXN-00110,CUST-0144,2024-05-07,IBFT,719792.72,Karachi-Main,Branch,USD,ENTITY-433,0,1,Reversed
TXN-00111,CUST-0115,2024-11-29,Cash Deposit,182101.35,Faisalabad-Central,Branch,PKR,ENTITY-033,0,0,Reversed
TXN-00112,CUST-0139,2024-05-23,Loan Disbursement,85753.62,Quetta-Branch,ATM,PKR,ENTITY-200,0,0,Reversed
TXN-00113,CUST-0107,2024-08-14,IBFT,29550.18,Lahore-Gulberg,Branch,PKR,ENTITY-461,0,0,Pending
TXN-00114,CUST-0147,2025-03-05,Loan Disbursement,48166.32,Islamabad-Blue Area,POS,AED,ENTITY-308,0,0,Completed
TXN-00115,CUST-0140,2025-01-01,Cash Deposit,72960.54,Lahore-Gulberg,Online,USD,ENTITY-273,1,0,Reversed
TXN-00116,CUST-0085,2024-07-02,Cash Deposit,5726.11,Lahore-Gulberg,Online,PKR,ENTITY-075,0,0,Completed
TXN-00117,CUST-0020,2025-02-15,Wire Transfer,123310.05,Quetta-Branch,ATM,AED,ENTITY-440,0,0,Reversed
TXN-00118,CUST-0171,2024-11-04,IBFT,98601.2,Faisalabad-Central,Mobile App,PKR,ENTITY-096,0,0,Completed
TXN-00119,CUST-0176,2024-04-02,IBFT,28650.02,Islamabad-Blue Area,Mobile App,PKR,ENTITY-322,0,0,Completed
TXN-00120,CUST-0102,2024-09-12,Cash Deposit,120838.44,Lahore-Gulberg,Online,PKR,ENTITY-357,1,0,Reversed
TXN-00121,CUST-0099,2024-11-05,ATM Withdrawal,294947.16,Karachi-Clifton,Online,PKR,ENTITY-426,0,0,Reversed
TXN-00122,CUST-0091,2024-12-11,POS Purchase,5825.49,Quetta-Branch,Online,USD,ENTITY-083,0,0,Completed
TXN-00123,CUST-0183,2024-08-10,IBFT,512575.34,Karachi-Clifton,Online,USD,ENTITY-412,1,0,Completed
TXN-00124,CUST-0080,2024-04-24,IBFT,226245.96,Karachi-Clifton,Online,PKR,ENTITY-335,0,0,Completed
TXN-00125,CUST-0112,2024-03-28,IBFT,5024789.1,Karachi-Main,Mobile App,PKR,ENTITY-037,1,1,Completed
TXN-00126,CUST-0147,2024-01-06,IBFT,218643.63,Islamabad-Blue Area,POS,USD,ENTITY-090,0,0,Completed
TXN-00127,CUST-0025,2025-02-03,Cash Withdrawal,1865844.86,Quetta-Branch,Branch,USD,ENTITY-466,0,1,Pending
TXN-00128,CUST-0061,2024-06-10,Bill Payment,36357.99,Lahore-Gulberg,Mobile App,PKR,ENTITY-033,0,0,Completed
TXN-00129,CUST-0175,2024-01-21,Cash Withdrawal,9701.82,Lahore-Gulberg,POS,PKR,ENTITY-293,0,0,Completed
TXN-00130,CUST-0067,2024-09-25,Cash Withdrawal,91343.93,Karachi-Clifton,ATM,AED,ENTITY-446,0,0,Completed
TXN-00131,CUST-0168,2024-01-26,Loan Disbursement,46130.68,Karachi-Clifton,Branch,PKR,ENTITY-039,0,0,Reversed
TXN-00132,CUST-0041,2024-05-20,Cash Deposit,10419.41,Karachi-Clifton,ATM,AED,ENTITY-144,0,0,Completed
TXN-00133,CUST-0163,2025-01-01,Loan Disbursement,862277.29,Karachi-Main,POS,PKR,ENTITY-391,0,0,Pending
TXN-00134,CUST-0061,2024-06-03,IBFT,2059212.38,Lahore-Gulberg,ATM,USD,ENTITY-387,0,1,Completed
TXN-00135,CUST-0098,2025-03-27,Bill Payment,212739.72,Lahore-Gulberg,Branch,PKR,ENTITY-226,0,1,Pending
TXN-00136,CUST-0055,2024-01-22,Loan Disbursement,2134.6,Faisalabad-Central,Online,PKR,ENTITY-125,0,0,Reversed
TXN-00137,CUST-0152,2024-04-01,Wire Transfer,8034.26,Lahore-Gulberg,Mobile App,AED,ENTITY-100,1,0,Completed
TXN-00138,CUST-0158,2024-04-08,Cash Deposit,87506.26,Lahore-Gulberg,Branch,PKR,ENTITY-327,0,0,Reversed
TXN-00139,CUST-0106,2024-01-08,Cash Deposit,22835.9,Lahore-Gulberg,POS,PKR,ENTITY-052,0,0,Reversed
TXN-00140,CUST-0077,2025-03-06,ATM Withdrawal,3389.86,Faisalabad-Central,POS,PKR,ENTITY-177,0,0,Reversed
TXN-00141,CUST-0165,2024-08-17,POS Purchase,58712.28,Karachi-Main,ATM,PKR,ENTITY-435,0,0,Reversed
TXN-00142,CUST-0056,2024-03-05,ATM Withdrawal,27289.7,Islamabad-Blue Area,Branch,PKR,ENTITY-016,0,0,Pending
TXN-00143,CUST-0002,2025-02-05,Wire Transfer,322667.0,Quetta-Branch,Online,PKR,ENTITY-332,0,1,Pending
TXN-00144,CUST-0108,2025-03-22,POS Purchase,90969.17,Lahore-Gulberg,Online,PKR,ENTITY-395,1,1,Completed
TXN-00145,CUST-0083,2024-03-18,POS Purchase,1434034.59,Karachi-Main,Online,PKR,ENTITY-411,0,1,Pending
TXN-00146,CUST-0044,2024-09-01,Cash Withdrawal,5268.04,Islamabad-Blue Area,Online,AED,ENTITY-262,0,0,Reversed
TXN-00147,CUST-0156,2024-08-13,ATM Withdrawal,24766.03,Karachi-Main,POS,PKR,ENTITY-375,0,0,Completed
TXN-00148,CUST-0118,2024-07-22,IBFT,7259732.27,Lahore-Gulberg,Branch,USD,ENTITY-367,0,1,Pending
TXN-00149,CUST-0077,2024-01-22,Cash Deposit,341145.3,Faisalabad-Central,ATM,PKR,ENTITY-450,0,0,Completed
TXN-00150,CUST-0041,2024-06-29,ATM Withdrawal,28838.08,Karachi-Clifton,Mobile App,USD,ENTITY-274,0,0,Completed
TXN-00151,CUST-0093,2024-05-06,ATM Withdrawal,142.16,Islamabad-Blue Area,ATM,PKR,ENTITY-499,0,0,Pending
TXN-00152,CUST-0097,2024-12-21,Cash Withdrawal,141407.61,Faisalabad-Central,Branch,USD,ENTITY-143,0,0,Completed
TXN-00153,CUST-0191,2024-07-17,ATM Withdrawal,6822.08,Karachi-Main,ATM,USD,ENTITY-453,0,0,Completed
TXN-00154,CUST-0150,2024-08-19,ATM Withdrawal,2957.0,Karachi-Main,Branch,PKR,ENTITY-061,0,0,Completed
TXN-00155,CUST-0200,2024-01-30,Wire Transfer,137567.11,Faisalabad-Central,Mobile App,USD,ENTITY-193,0,0,Completed
TXN-00156,CUST-0033,2024-09-15,Loan Disbursement,1300.35,Faisalabad-Central,Online,PKR,ENTITY-361,0,0,Completed
TXN-00157,CUST-0158,2025-02-02,Wire Transfer,130933.9,Lahore-Gulberg,Online,PKR,ENTITY-308,0,0,Reversed
TXN-00158,CUST-0052,2024-11-25,POS Purchase,185191.4,Karachi-Clifton,ATM,USD,ENTITY-295,1,0,Completed
TXN-00159,CUST-0002,2024-12-08,Bill Payment,89749.08,Quetta-Branch,Mobile App,USD,ENTITY-105,0,0,Completed
TXN-00160,CUST-0109,2024-06-24,Cash Deposit,1290887.86,Karachi-Clifton,Branch,USD,ENTITY-444,0,1,Completed
TXN-00161,CUST-0154,2025-01-19,POS Purchase,29675.65,Faisalabad-Central,ATM,PKR,ENTITY-366,1,0,Reversed
TXN-00162,CUST-0023,2024-04-05,Cash Withdrawal,15201.43,Karachi-Clifton,Mobile App,USD,ENTITY-317,0,0,Pending
TXN-00163,CUST-0145,2024-03-19,Cash Deposit,5179.39,Karachi-Clifton,Online,AED,ENTITY-486,0,0,Reversed
TXN-00164,CUST-0134,2024-09-10,POS Purchase,2580345.33,Quetta-Branch,POS,PKR,ENTITY-237,0,0,Pending
TXN-00165,CUST-0014,2024-04-16,IBFT,16312.76,Karachi-Clifton,Mobile App,AED,ENTITY-090,0,0,Completed
TXN-00166,CUST-0142,2024-06-19,Loan Disbursement,6889.62,Lahore-Gulberg,POS,AED,ENTITY-149,0,0,Completed
TXN-00167,CUST-0041,2024-02-23,ATM Withdrawal,745332.42,Karachi-Clifton,POS,USD,ENTITY-296,0,1,Completed
TXN-00168,CUST-0019,2024-11-10,POS Purchase,102707.9,Karachi-Clifton,ATM,PKR,ENTITY-070,0,0,Reversed
TXN-00169,CUST-0070,2024-09-07,POS Purchase,4324324.38,Islamabad-Blue Area,Branch,AED,ENTITY-344,0,1,Completed
TXN-00170,CUST-0115,2024-12-24,POS Purchase,24090.31,Faisalabad-Central,Branch,PKR,ENTITY-005,0,0,Completed
TXN-00171,CUST-0072,2025-01-02,Cash Withdrawal,25783.28,Karachi-Main,Mobile App,PKR,ENTITY-011,0,0,Completed
TXN-00172,CUST-0099,2025-02-25,IBFT,8586.21,Karachi-Clifton,POS,PKR,ENTITY-495,0,0,Completed
TXN-00173,CUST-0187,2024-06-18,POS Purchase,22902.93,Islamabad-Blue Area,ATM,PKR,ENTITY-141,0,0,Reversed
TXN-00174,CUST-0184,2024-11-24,ATM Withdrawal,172392.36,Karachi-Main,Online,PKR,ENTITY-353,0,0,Reversed
TXN-00175,CUST-0124,2024-08-05,Bill Payment,32472.79,Karachi-Clifton,POS,PKR,ENTITY-301,0,0,Completed
TXN-00176,CUST-0149,2025-01-01,POS Purchase,18755.41,Lahore-Gulberg,ATM,USD,ENTITY-280,0,0,Completed
TXN-00177,CUST-0200,2024-12-12,ATM Withdrawal,935121.19,Faisalabad-Central,ATM,AED,ENTITY-045,1,1,Pending
TXN-00178,CUST-0185,2024-09-19,IBFT,8892.58,Faisalabad-Central,ATM,PKR,ENTITY-016,0,0,Pending
TXN-00179,CUST-0133,2025-02-19,IBFT,747.72,Karachi-Clifton,ATM,AED,ENTITY-442,0,0,Pending
TXN-00180,CUST-0135,2024-07-07,Cash Withdrawal,15125.61,Faisalabad-Central,Mobile App,PKR,ENTITY-048,0,0,Completed
TXN-00181,CUST-0113,2024-08-18,ATM Withdrawal,3358.6,Karachi-Clifton,Branch,PKR,ENTITY-118,0,1,Completed
TXN-00182,CUST-0009,2024-10-18,ATM Withdrawal,22561.31,Karachi-Main,Mobile App,PKR,ENTITY-227,0,0,Completed
TXN-00183,CUST-0148,2024-07-29,ATM Withdrawal,76174.44,Karachi-Main,Mobile App,PKR,ENTITY-273,0,0,Pending
TXN-00184,CUST-0059,2024-09-24,Cash Deposit,214829.7,Quetta-Branch,Online,USD,ENTITY-222,0,0,Completed
TXN-00185,CUST-0067,2025-03-23,POS Purchase,94259.04,Karachi-Clifton,Mobile App,PKR,ENTITY-435,0,0,Pending
TXN-00186,CUST-0184,2024-01-16,IBFT,38766.46,Karachi-Main,Branch,PKR,ENTITY-103,0,0,Pending
TXN-00187,CUST-0098,2024-09-22,Wire Transfer,5731.88,Lahore-Gulberg,Mobile App,PKR,ENTITY-462,0,0,Completed
TXN-00188,CUST-0125,2024-01-11,IBFT,5024.79,Karachi-Main,Mobile App,USD,ENTITY-016,0,0,Reversed
TXN-00189,CUST-0085,2024-10-19,Bill Payment,524961.15,Lahore-Gulberg,Branch,PKR,ENTITY-199,0,1,Completed
TXN-00190,CUST-0146,2024-05-12,IBFT,7653.73,Quetta-Branch,ATM,PKR,ENTITY-053,1,0,Pending
TXN-00191,CUST-0095,2025-01-08,Cash Deposit,6425.93,Faisalabad-Central,ATM,PKR,ENTITY-217,0,0,Reversed
TXN-00192,CUST-0161,2024-03-01,IBFT,817019.09,Karachi-Main,ATM,USD,ENTITY-261,0,1,Completed
TXN-00193,CUST-0079,2024-02-08,Loan Disbursement,7839.34,Lahore-Gulberg,Branch,PKR,ENTITY-293,1,0,Completed
TXN-00194,CUST-0067,2024-06-19,IBFT,1379.91,Karachi-Clifton,ATM,PKR,ENTITY-210,1,0,Completed
TXN-00195,CUST-0122,2024-08-28,ATM Withdrawal,24513.78,Faisalabad-Central,ATM,AED,ENTITY-402,0,0,Completed
TXN-00196,CUST-0160,2024-12-03,Wire Transfer,6572.27,Karachi-Clifton,ATM,PKR,ENTITY-256,0,0,Completed
TXN-00197,CUST-0114,2025-02-12,Cash Withdrawal,92190.81,Faisalabad-Central,Online,USD,ENTITY-341,0,0,Reversed
TXN-00198,CUST-0184,2024-07-04,Cash Deposit,372937.71,Karachi-Main,Online,AED,ENTITY-124,0,0,Completed
TXN-00199,CUST-0111,2024-12-30,Loan Disbursement,142628.94,Karachi-Clifton,ATM,AED,ENTITY-032,0,0,Pending
TXN-00200,CUST-0185,2024-03-28,Wire Transfer,79666.51,Faisalabad-Central,Online,USD,ENTITY-378,0,0,Completed
TXN-00201,CUST-0156,2024-03-12,POS Purchase,3792486.04,Karachi-Main,Online,USD,ENTITY-138,0,1,Reversed
TXN-00202,CUST-0020,2024-04-20,Cash Deposit,6213.79,Quetta-Branch,POS,AED,ENTITY-445,0,0,Pending
TXN-00203,CUST-0038,2025-02-05,Cash Withdrawal,12864.98,Islamabad-Blue Area,Branch,PKR,ENTITY-070,0,0,Completed
TXN-00204,CUST-0073,2025-03-14,Loan Disbursement,50712.0,Quetta-Branch,POS,PKR,ENTITY-444,0,0,Completed
TXN-00205,CUST-0185,2024-11-01,Loan Disbursement,17814.86,Faisalabad-Central,ATM,PKR,ENTITY-307,0,0,Completed
